Dataset,OrigPropertyCode,ObservedProperty,DataType,StandardCode
EastCentral_Australia,3A1,3A1,L,TRUE
EastCentral_Australia,4A1,4A1,L,TRUE
EastCentral_Australia,4B1,4B1,L,TRUE
EastCentral_Australia,6A1,6A1,L,TRUE
EastCentral_Australia,7B1,7B1,L,TRUE
EastCentral_Australia,9B1,9B1,L,TRUE
EastCentral_Australia,9C1,9C1,L,TRUE
EastCentral_Australia,18A1,18A1,L,TRUE
EastCentral_Australia,18A2,18A2,L,TRUE
EastCentral_Australia,10B1,10B1,L,TRUE
EastCentral_Australia,10D1,10D1,L,TRUE
EastCentral_Australia,15A1_K,15A1_K,L,TRUE
EastCentral_Australia,15A1_NA,15A1_NA,L,TRUE
EastCentral_Australia,15A1_CA,15A1_CA,L,TRUE
EastCentral_Australia,15A1_MG,15A1_MG,L,TRUE
EastCentral_Australia,15G1,15G1,L,TRUE
EastCentral_Australia,14B1,14B1,L,TRUE
EastCentral_Australia,15N1,15N1,L,TRUE
EastCentral_Australia,15_NR_CEC,15_NR_CEC,L,TRUE
EastCentral_Australia,h_texture,h_texture,M,TRUE
