N10A2,10A_NR
N10D1,10D1
N12A1.Cu,12A1_CU
N12A1.Fe,12A1_FE
N12A1.Mn,12A1_MN
N12A1.Zn,12A1_ZN
N12C1,12C1
N12C2,12C2
N13C1.Fe,13C1_FE
N14A3.Ca,14A3_CA
N14A3.K,14A3_K
N14A3.Mg,14A3_MG
N14A3.Na,14A3_NA
N14B1,14B1
N14B1I,14B1
N15A1.Ca,15A1_CA
N15A1.Ecec,15A1_CEC
N15A1.K,15A1_K
N15A1.Mg,15A1_MG
N15A1.Na,15A1_NA
N15A2.Al,15A2_AL
N15A2.Ca,15A2_CA
N15A2.Ecec,15A2_CEC
N15A2.K,15A2_K
N15A2.Mg,15A2_MG
N15A2.Na,15A2_NA
N15B1.Ca,15B1_CA
N15B1.Cec,15B1_CEC
N15B1.K,15B1_K
N15B1.Mg,15B1_MG
N15B1.Na,15B1_NA
N15C1.Ca,15C1_CA
N15C1.Cec,15C1_CEC
N15C1.K,15C1_K
N15C1.Mg,15C1_MG
N15C1.Na,15C1_NA
N15D1.Ca,15C1_CA
N15D1.K,15D1_K
N15D1.Mg,15D1_MG
N15D1.Na,15D1_NA
N15D3.Ca,15D3_CA
N15D3.Cec,15D3_CEC
N15D3.K,15D3_K
N15D3.Mg,15D3_MG
N15D3.Na,15D3_NA
N15E1.Al,15E1_AL
N15E1.Ca,15E1_CA
N15E1.K,15E1_K
N15E1.Mg,15E1_MG
N15E1.Na,15E1_NA
N15F1.Ca,15F1_CA
N15F1.K,15F1_K
N15F1.Mg,15F1_MG
N15F1.Na,15F1_NA
N15F2.Al,15F2_AL
N15F3.Cec,15F3
N15G1.Al,15G1_AL
N15G1.H,15G1_H
N15J1,15J1
N15M1.Ca.Mg,15M1_Ca/Mg
N15M1.Mg.K,15M1_Mg/K
N15N1,15N1
N15Z1.Ca,15Z1_CA
N15Z1.Cec,15Z1_CEC
N15Z1.K,15Z1_K
N15Z1.Mg,15Z1_MG
N15Z1.Na,15Z1_NA
N16C1,16C1
N16D1,16D1
N17C1.As,17C1_AS
N17C1.Cd,17C1_CD
N17C1.Cr,17C1_CR
N17C1.Cu,17C1_CU
N17C1.Hg,17C1_HG
N17C1.Mn,17C1_MN
N17C1.Ni,17C1_NI
N17C1.Pb,17C1_PB
N17C1.Se,17C1_SE
N17C1.Zn,17C1_ZN
N18A1,18A1
N19B2,19B2
N19Z1,19Z1
N20B1,20B1
N20C1,20C1_ANC
N2A1,2A1
N2B1,2B1
N3A1,3A1
N4A1,4A1
N4B1,4B1
N4B2,4B2
N4B3,4B3
N4B4,4B4
N4E1,4E1
N503.01,N503.01
N503.03,N503.03
N504.02.Fc,P3B_VL_03
N504.02.Pwp,P3B_VL_15
N504.99,N504.99
N505.99,N505.99
N510.01,N510.01
N510.03,N510.03
N513.01,N513.01
N513.97,N513.97
N513.98,N513.98
N513.99,N513.99
N514.99,P6_LP
N515.01,N515.01
N516.01.Cl,N516.01.Cl
N516.01.Cs,N516.01.Cs
N516.01.Fs,N516.01.Fs
N516.01.Gr,N516.01.Gr
N516.01.Si,N516.01.Si
N517.99.Cl,P10_HYD_C
N517.99.Cs,P10_HYD_CS
N517.99.Fs,P10_HYD_FS
N517.99.Gr,P10_GRAV
N517.99.Si,P10_HYD_Z
N517.99.St,N517.99.St
N517.99.Zl,N517.99.Zl
N518.01,P5_LS
N518.99,N518.99
N519.01,N519.01
N519.03,N519.03
N550.01,N550.01
N550.02,N550.02
N552.01,N552.01
N552.02,N552.02
N552.03,N552.03
N5A1,5A1
N5A2A,5A2a
N5A2B,5A2b
N6A1,6A1
N6B1,6B1
N6B2,6B2
N6B2B,6B2b
N6B3,6B3
N7A1,7A1
N7A2A,7A2a
N7A2B,7A2b
N7A5,7A5
N7B1B,7B1b
N7C1F,7C1f
N7C2B.No3.N,7C2b
N9B2,9B2
N9D1,9D1
N9E1,90
N9I1,9I1
N9I2B,9I2b
N9Z1,N9Z1
Naswat,Naswat
