"","x"
"1","N517.99.Fs"
"2","N517.99.Zl"
"3","N517.99.Cl"
"4","N518.01"
"5","N519.01"
"6","N519.03"
"7","N513.01"
"8","N550.01"
"9","N517.99.Cs"
"10","N15F1.K"
"11","N4B1"
"12","N9E1"
"13","N516.01.Si"
"14","N3A1"
"15","N9I1"
"16","N15F1.Mg"
"17","N518.99"
"18","N516.01.Cl"
"19","N15F1.Na"
"20","N504.02.Fc"
"21","N517.99.Gr"
"22","N15F2.Al"
"23","N516.01.Cs"
"24","N504.02.Pwp"
"25","N513.98"
"26","N15F3.Cec"
"27","N6A1"
"28","N516.01.Fs"
"29","N514.99"
"30","N15F1.Ca"
"31","N517.99.Si"
"32","N516.01.Gr"
"33","N2B1"
"34","N4A1"
"35","N515.01"
"36","N503.01"
"37","N9D1"
"38","N550.02"
"39","N505.99"
"40","N13C1.Fe"
"41","N16D1"
"42","N15Z1.Ca"
"43","N15Z1.Cec"
"44","N15Z1.K"
"45","N15Z1.Mg"
"46","N15Z1.Na"
"47","N4B2"
"48","N513.97"
"49","N15E1.Ca"
"50","N15E1.K"
"51","N15E1.Mg"
"52","N15E1.Na"
"53","N6B2"
"54","N7A1"
"55","N7C1F"
"56","N17C1.As"
"57","N17C1.Cd"
"58","N17C1.Cr"
"59","N17C1.Cu"
"60","N17C1.Hg"
"61","N17C1.Mn"
"62","N17C1.Ni"
"63","N17C1.Pb"
"64","N17C1.Se"
"65","N17C1.Zn"
"66","N15E1.Al"
"67","N14A3.Ca"
"68","N14A3.K"
"69","N14A3.Mg"
"70","N14A3.Na"
"71","N7A2A"
"72","N4E1"
"73","N20B1"
"74","N20C1"
"75","N510.01"
"76","N504.99"
"77","N510.03"
"78","N15B1.Cec"
"79","N15D1.Ca"
"80","N15D1.K"
"81","N15D1.Mg"
"82","N15D1.Na"
"83","N15A1.Ca"
"84","N15A1.K"
"85","N15A1.Mg"
"86","N15A1.Na"
"87","N15C1.Ca"
"88","N15C1.Cec"
"89","N15C1.K"
"90","N15C1.Mg"
"91","N15C1.Na"
"92","N5A1"
"93","N19Z1"
"94","N9Z1"
"95","N517.99.St"
"96","N14B1"
"97","N10A2"
"98","N5A2B"
"99","N513.99"
"100","N15G1.Al"
"101","N6B3"
"102","N15J1"
"103","N7A5"
"104","N552.01"
"105","N5A2A"
"106","N15N1"
"107","N15D3.Cec"
"108","N2A1"
"109","N15D3.Na"
"110","N15D3.Ca"
"111","N15D3.K"
"112","N15D3.Mg"
"113","N552.02"
"114","N6B2B"
"115","N9B2"
"116","N503.03"
"117","N15M1.Ca.Mg"
"118","N15A2.Al"
"119","N15A2.Ca"
"120","N15A2.Ecec"
"121","N15A2.K"
"122","N15A2.Mg"
"123","N15A2.Na"
"124","N14B1I"
"125","N15A1.Ecec"
"126","N6B1"
"127","N7A2B"
"128","N7B1B"
"129","N16C1"
"130","N552.03"
"131","N4B3"
"132","N18A1"
"133","N19B2"
"134","N10D1"
"135","N12A1.Cu"
"136","N12A1.Fe"
"137","N12A1.Mn"
"138","N12A1.Zn"
"139","N12C1"
"140","N4B4"
"141","N7C2B.No3.N"
"142","N9I2B"
"143","Naswat"
"144","N12C2"
"145","N15M1.Mg.K"
"146","N15B1.Ca"
"147","N15B1.K"
"148","N15B1.Mg"
"149","N15B1.Na"
"150","N15G1.H"
